epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2449.92,1.22472,1.69082,1.1495,0.92331,0.91239,0.93927,0.60885,1.20686,1.11966,1.11725,0.00332954,0.00332954,0.00332954
2,4745.27,1.22777,0.93526,1.12682,0.93742,0.91385,0.94686,0.62144,1.19159,0.78801,1.14142,0.00659691,0.00659691,0.00659691
